features,accs,freqs
673,0.7555555555555555,18
694,0.6799999999999999,4
695,0.7,8
696,0.62,2
697,0.6399999999999999,5
852,0.7340350877192982,57
854,0.7490410958904109,73
1057,0.75,4
1061,0.7333333333333334,3
1064,0.7733333333333333,6
1065,0.7511111111111111,18
1656,0.7541333333333333,75
1662,0.748,40
1663,0.7347368421052632,57
1664,0.7501369863013698,73
1667,0.7358620689655172,58
1677,0.7418181818181818,33
1678,0.7434920634920636,63
1679,0.7472,25
2183,0.736,10
2184,0.7413333333333334,120
2213,0.7429411764705882,68
2214,0.7271999999999998,50
2219,0.7444067796610169,59
2220,0.7225806451612904,31
2221,0.7362499999999998,64
2223,0.7327272727272728,22
2224,0.7292307692307692,13
2226,0.8,2
2662,0.7600000000000001,4
478,0.728,5
482,0.76,4
483,0.7371428571428572,14
484,0.7466666666666667,27
488,0.7229629629629629,27
489,0.7270588235294118,17
724,0.7314285714285714,7
726,0.732,10
732,0.7366666666666667,12
734,0.7415384615384615,13
735,0.76,32
736,0.7612121212121212,33
743,0.7740000000000001,20
1092,0.7466666666666666,6
1103,0.8,2
1104,0.68,1
1160,0.68,1
2104,0.7557142857142857,28
2105,0.7470588235294118,34
2106,0.7428571428571429,14
2108,0.716,10
2154,0.7479245283018868,53
2161,0.7236363636363635,11
2739,0.7599999999999999,6
2740,0.7333333333333334,3
2748,0.7200000000000001,3
2751,0.7914285714285716,28
2752,0.68,2
461,0.74,2
462,0.7266666666666666,6
463,0.7377777777777778,18
825,0.7415384615384615,13
827,0.7418181818181818,11
828,0.7471999999999999,25
829,0.7813333333333335,15
830,0.7644444444444445,18
832,0.7533333333333333,24
833,0.7377777777777778,9
835,0.7582608695652174,23
840,0.7453333333333332,60
841,0.7317647058823529,34
842,0.751111111111111,63
843,0.7255172413793103,29
849,0.7381818181818182,55
851,0.7330769230769231,52
855,0.733103448275862,58
857,0.7200000000000001,31
1674,0.7400000000000001,28
1675,0.765,8
1676,0.7199999999999999,14
1681,0.785,8
2158,0.7424,25
2211,0.732,10
838,0.7257142857142856,14
839,0.7441509433962263,53
844,0.7107692307692308,26
846,0.722857142857143,28
850,0.7057142857142856,14
853,0.7224242424242423,33
1657,0.7549999999999999,24
2196,0.7533333333333333,12
2262,0.7360000000000001,5
2263,0.7428571428571428,14
2264,0.704,10
863,0.7542857142857143,7
1658,0.7555555555555555,9
1665,0.74,10
1668,0.745,24
1669,0.76,17
1670,0.7654545454545455,22
1673,0.744,20
1683,0.744,5
1687,0.7777777777777778,9
672,0.7628571428571428,14
692,0.7000000000000001,6
693,0.62,2
1672,0.728,25
2202,0.6989473684210527,19
2203,0.6989473684210527,19
2210,0.7234782608695652,23
2247,0.764,10
2730,0.6933333333333334,3
2732,0.7723076923076924,13
2734,0.7771428571428572,14
8,0.76,1
22,0.76,1
24,0.76,1
25,0.76,1
26,0.76,1
74,0.7200000000000001,3
94,0.72,4
99,0.7399999999999999,6
466,0.7300000000000001,4
474,0.74,16
834,0.7472727272727273,22
1654,0.7514285714285714,28
836,0.7288888888888888,18
1651,0.7466666666666667,21
674,0.6799999999999998,7
831,0.744,5
837,0.72,7
845,0.7171428571428571,14
848,0.7215384615384616,26
731,0.7371428571428572,14
1646,0.7515789473684211,19
1659,0.6977777777777778,9
1660,0.7057142857142857,14
480,0.76,5
727,0.8,2
728,0.76,5
729,0.76,5
2034,0.8,1
2035,0.8,1
2038,0.8,1
2039,0.8,1
2040,0.8,1
2123,0.79,4
2126,0.7466666666666667,3
2737,0.8,1
2741,0.8,1
2744,0.8,1
491,0.84,1
492,0.84,1
503,0.84,1
999,0.78,4
1001,0.7422222222222222,9
2243,0.7399999999999999,12
2244,0.748,10
2261,0.84,1
2265,0.78,2
1066,0.784,5
1067,0.7555555555555555,9
1068,0.7666666666666666,6
1648,0.75,4
1649,0.7383333333333333,24
1652,0.7523809523809524,21
1655,0.7424999999999999,32
1858,0.84,1
2204,0.7199999999999999,12
2206,0.7127272727272727,11
2207,0.7133333333333333,12
2209,0.7066666666666667,3
2212,0.6880000000000001,5
847,0.7066666666666667,6
856,0.716,20
858,0.72,10
691,0.62,2
739,0.7672727272727272,11
1091,0.755,8
2723,0.7866666666666666,6
2733,0.76,1
1643,0.8400000000000001,5
1645,0.86,2
1647,0.86,2
1650,0.732,20
733,0.768,5
737,0.768,5
789,0.72,1
1569,0.72,1
2107,0.7257142857142856,7
2750,0.72,1
471,0.7533333333333333,6
472,0.7533333333333333,6
473,0.75,8
1661,0.688,5
1671,0.7280000000000001,5
2663,0.84,1
2735,0.7799999999999999,12
2157,0.7314285714285715,21
744,0.7066666666666667,6
745,0.7066666666666667,6
860,0.76,5
861,0.7733333333333333,3
485,0.7766666666666667,12
2411,0.72,1
2412,0.72,1
2415,0.72,1
486,0.7377777777777778,9
2205,0.7542857142857142,7
2288,0.8,1
2290,0.8,1
2291,0.8,1
2292,0.8,1
465,0.808,5
56,0.78,2
59,0.8,2
1085,0.73,4
2194,0.7666666666666667,6
57,0.8,1
58,0.744,5
98,0.8,1
1089,0.6933333333333334,3
2222,0.7466666666666667,3
740,0.744,5
864,0.6,1
487,0.7142857142857143,7
738,0.7942857142857143,7
2185,0.69,4
669,0.6,2
675,0.6,2
676,0.6,1
679,0.7066666666666667,3
1000,0.71,4
1002,0.64,1
1004,0.64,1
1005,0.64,1
1012,0.64,1
1021,0.64,1
1026,0.64,1
1062,0.64,1
690,0.48,1
698,0.48,1
479,0.74,2
481,0.7866666666666666,3
1653,0.7828571428571428,7
2726,0.7466666666666666,3
88,0.8,1
101,0.76,4
623,0.7200000000000001,3
2112,0.68,3
2113,0.7657142857142858,14
818,0.7466666666666667,3
716,0.8,1
718,0.8,2
723,0.7333333333333334,3
742,0.8133333333333334,3
464,0.7600000000000001,3
814,0.7733333333333334,3
54,0.7100000000000001,4
2155,0.7688888888888888,9
2156,0.7466666666666666,9
1101,0.92,1
1106,0.92,1
1107,0.92,1
2124,0.7542857142857142,7
86,0.68,1
87,0.68,1
89,0.68,1
92,0.68,1
93,0.68,1
791,0.68,1
815,0.68,1
817,0.68,1
2242,0.68,1
16,0.8,1
475,0.736,5
2109,0.7066666666666667,3
2160,0.74,2
2245,0.6933333333333334,3
75,0.6,1
824,0.6799999999999999,2
1084,0.68,1
1642,0.79,4
2770,0.68,1
826,0.68,1
2153,0.71,4
476,0.74,2
477,0.74,2
2195,0.72,1
2724,0.8200000000000001,2
2164,0.7066666666666667,3
2198,0.72,1
2199,0.72,1
2200,0.72,1
1694,0.7999999999999999,3
1688,0.8600000000000001,2
2047,0.72,1
2125,0.72,2
2127,0.88,1
2379,0.88,1
862,0.64,1
2736,0.72,1
1059,0.8,1
1685,0.7,2
2056,0.78,2
5,0.72,1
385,0.72,1
386,0.72,1
2110,0.6,1
2679,0.6,1
2693,0.6,1
2695,0.6,1
2698,0.6,1
671,0.7333333333333333,3
741,0.76,2
746,0.76,2
1563,0.72,1
62,0.76,2
1666,0.7,2
2025,0.8,1
100,0.84,1
102,0.84,1
670,0.6,1
1680,0.76,2
896,0.8,1
906,0.8,1
467,0.68,1
468,0.68,1
1078,0.64,1
859,0.8,1
2725,0.92,1
2727,0.92,1
2731,0.92,1
2140,0.8,2
2119,0.72,1
1684,0.92,1
2276,0.76,1
1973,0.68,1
2677,0.68,1
2678,0.68,1
